Gmt time,Open,High,Low,Close,Volume
30.03.2019 12:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 13:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 14:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 15:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 16:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 17:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 18:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 19:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 20:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 21:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 22:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 23:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 00:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 01:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 02:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 03:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 04:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 05:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 06:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 07:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 08:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 09:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 10:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 11:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 12:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 13:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 14:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 15:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 16:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 17:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 18:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 19:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 20:00:00.000,1.30294,1.30294,1.30294,1.30294,0
31.03.2019 21:00:00.000,1.30368,1.30428,1.30054,1.30324,765.79
31.03.2019 22:00:00.000,1.30323,1.30356,1.30173,1.30188,2872.2
31.03.2019 23:00:00.000,1.30200,1.30265,1.30165,1.30210,2015.11
01.04.2019 00:00:00.000,1.30206,1.30214,1.30093,1.30182,3609.6299
01.04.2019 01:00:00.000,1.30182,1.30284,1.30152,1.30212,3185.6201
01.04.2019 02:00:00.000,1.30213,1.30323,1.30198,1.30311,2668.0901
01.04.2019 03:00:00.000,1.30309,1.30353,1.30262,1.30344,1879.13
01.04.2019 04:00:00.000,1.30346,1.30435,1.30331,1.30432,3059.3201
01.04.2019 05:00:00.000,1.30432,1.30662,1.30430,1.30576,6210.1802
01.04.2019 06:00:00.000,1.30575,1.30845,1.30531,1.30709,13689.8799
01.04.2019 07:00:00.000,1.30710,1.30777,1.30571,1.30642,18512.25
01.04.2019 08:00:00.000,1.30642,1.30935,1.30574,1.30894,20541.6504
01.04.2019 09:00:00.000,1.30892,1.31019,1.30802,1.30974,16284.0303
01.04.2019 10:00:00.000,1.30974,1.31075,1.30860,1.31044,17511.2109
01.04.2019 11:00:00.000,1.31042,1.31241,1.30979,1.31122,18018.5391
01.04.2019 12:00:00.000,1.31128,1.31212,1.31045,1.31151,16038.9004
01.04.2019 13:00:00.000,1.31150,1.31229,1.31083,1.31122,17002.4707
01.04.2019 14:00:00.000,1.31122,1.31496,1.30806,1.31399,20323.6094
01.04.2019 15:00:00.000,1.31400,1.31442,1.31156,1.31420,12729.1504
01.04.2019 16:00:00.000,1.31423,1.31454,1.31148,1.31186,7678.2798
01.04.2019 17:00:00.000,1.31188,1.31339,1.31187,1.31307,4788.9502
01.04.2019 18:00:00.000,1.31307,1.31373,1.31164,1.31257,5756.3901
01.04.2019 19:00:00.000,1.31257,1.31302,1.31106,1.31165,5536.3901
01.04.2019 20:00:00.000,1.31165,1.31181,1.31010,1.31012,4924.4902
01.04.2019 21:00:00.000,1.31003,1.31146,1.30294,1.30535,6351.3301
01.04.2019 22:00:00.000,1.30532,1.30817,1.30525,1.30785,4296.5298
01.04.2019 23:00:00.000,1.30787,1.30790,1.30660,1.30669,4680.9302
02.04.2019 00:00:00.000,1.30670,1.30720,1.30580,1.30700,4238.3901
02.04.2019 01:00:00.000,1.30701,1.30732,1.30592,1.30617,3934.8301
02.04.2019 02:00:00.000,1.30620,1.30702,1.30618,1.30690,3056.1799
02.04.2019 03:00:00.000,1.30690,1.30748,1.30635,1.30707,5197.0698
02.04.2019 04:00:00.000,1.30707,1.30723,1.30607,1.30660,3335.79
02.04.2019 05:00:00.000,1.30660,1.30850,1.30651,1.30691,3487.8899
02.04.2019 06:00:00.000,1.30692,1.30697,1.30368,1.30525,12813.3398
02.04.2019 07:00:00.000,1.30526,1.30552,1.30230,1.30501,23515.9297
02.04.2019 08:00:00.000,1.30497,1.30712,1.30365,1.30423,22673.5391
02.04.2019 09:00:00.000,1.30421,1.30761,1.30407,1.30477,14701.9697
02.04.2019 10:00:00.000,1.30477,1.30655,1.30423,1.30593,9901.71
02.04.2019 11:00:00.000,1.30592,1.30592,1.30131,1.30151,16251.6904
02.04.2019 12:00:00.000,1.30151,1.30363,1.30151,1.30318,19034.9609
02.04.2019 13:00:00.000,1.30318,1.30531,1.30265,1.30510,22903.8496
02.04.2019 14:00:00.000,1.30510,1.30547,1.30282,1.30313,24105.6406
02.04.2019 15:00:00.000,1.30310,1.30405,1.30249,1.30330,16003.2803
